addr,totalAmount
0xd6432E951c20506678AdEae5CA267B2c84c326F1,3698479000000000000000000
0x6f6a0241a284c1434886a824000da14447f4b7b1,1070061000000000000000000
0x024C19f3a403066B022A306357dBE38aDAd36024,2069112000000000000000000
0xa810aF095DfF632C91E0De48388234b947ace14e,1518165000000000000000000
0xF68446fB23631a4a8aCA93D45F02fb51B2408543,172508000000000000000000
0x0c8B30395cE6CD42735d356e005Dba8074045C5a,345015000000000000000000
0x43a50335Bb25eE0BEF00a32a60fBBF23BEF52F80,2586390000000000000000000
0x5941CE0764A964E717DA96C1676E39a1d9Dfc59E,2586692000000000000000000
0xaf5AcfF7D0052C6C1Ab250Ee2e91e71Fe0c29220,3698479000000000000000000
0x8e4cEB7D45F92414Fe61dCa29aFcf5330B9d73FE,3698479000000000000000000
0x386aEAe2A47c54D0605F5fE266D356BDE306313a,3698479000000000000000000
0x91ec680084F343c244eeBC3C6d08B7707FB21889,3698479000000000000000000
0x0B4e43454282cAa42632f2cad44AB108CEB0bd19,3698479000000000000000000
0xB7fc0c0E31a416B3C26F9A7c0C3046C4b40169F2,3698479000000000000000000
0xB4953224caA474d7491640bc3F760B859A450225,1376154000000000000000000
0xFf6C22571AAa77279444B8aBD9258C22B5ce799d,3307563000000000000000000
0xb410fd82521E799448f7A98CAAb5e7F8187E5b7E,3698479000000000000000000
0x1C6e8bfEd384A88cFD27D2e3C78f6d3B701f9D02,3698479000000000000000000
0x1521394312d19D9c7a00d0D7A279409f4adC31b0,3698479000000000000000000
0xE56D1A03bc9224a0D030B4A682292356F59E7B23,3698479000000000000000000
0x80d898a72C1239dd908766C094350c719d79Baae,3698479000000000000000000
0x9E7C7a044D2F858A60c319F6225BA7632ADE3c2B,3698479000000000000000000
0x5f276005e7795118C76Bb47CC4Ee9e28cD62ac82,3698479000000000000000000
0xA1c96A518c5eF58D75a36a0FEAAcF0bFB698d1F3,3698479000000000000000000
0x14241BDfbf45DF342Ba1DB59e7b02D2cA3e27165,3698479000000000000000000
0x7b3A4807D6cAF6bd8CF597cD9E8c3A42516C1a1b,3698479000000000000000000
0xC06FDaF17B8cd82e7c2eEc5D332f8EF578d6099D,1510481000000000000000000
0xA88aD1De1Dc44D73688615786533a90e5aEF3Ee6,3698479000000000000000000
0xc9a72cEfaE4dF5114203b14f81B77089AFF32550,3698479000000000000000000
0xff131197aaD2452838f26473566E1002a59A2715,3698479000000000000000000
0x615d9b206cE543f953d4693Ec8173d1c8f7c865F,3101729000000000000000000
0x2CD21902Ac04806E9df1Fd5b34B074e5986BBCC6,793508000000000000000000
0x8B9B52Bc9D3F494247dE7BeDFD69117f723778bA,3698479000000000000000000
0x0D57C465f1805dac66Fff083D1a709bbB55A5004,758730000000000000000000
0x3ee856A7306fB14cf2482f163A7e280BdBE72e63,3698479000000000000000000
0x60BaC6fc92B63D0dd75DC679aF6aab012C45ebDD,367138000000000000000000
0x9332e35e87eAc40a0810813a7a12C458E8043184,3698479000000000000000000
0x782EdB66108606A3E5b0D110d358dE81f6e97B5f,3698479000000000000000000
0xB5d83cabe22006B7897E017Edd20A582e832522d,3698479000000000000000000
0x4A17C3195E9fF37Ab3A1775C1b090C23f7a6199D,2430467000000000000000000
0x513a199bF1f688CeE256F707b220380AcAc10719,1597079000000000000000000
0xFB400D87dAFddD46e810882105EC10AA2fc826cd,1594795000000000000000000
0x82a06C3f5D4e0f847f93315686753bE273957414,3698479000000000000000000
0x68e8974c05F461A8C1a62c72D1afaf7fD9d7D46c,3698479000000000000000000
0xcbbc571662eb4e4f91d2152fb267cbf8d78ce6e8,555785000000000000000000
0xAF50253bE097B0eD51bE0b738cE9B2b584Bac020,3698479000000000000000000
0x5f8e3bC4531E8d5cB31C5763775f1386c4e9bB8c,1374569000000000000000000
0x1d8f17664d733524dE3189e2eB0103c63d15051A,542646000000000000000000
0x416cF8F6CE172d1954cFc9688fA0c47986e4E953,3698479000000000000000000
0xD80BB4401022Eb615C8a3F9Be0c160D8De195076,2480089000000000000000000
0x63Bd8B1A924931d1bdf3A6976230fBce50F76838,3698479000000000000000000
0x60E7D81819b133d318f76455C6308661466248f8,1182731000000000000000000
0x223871035f5146D7fa9e40F302B28AC693e4AD8F,3698479000000000000000000
0x2BE68486FD2EA6A7a4C63EED04069C0002bD845A,3698479000000000000000000
0xE0c6df9137eCA4FD8903DB5150fF8Ea73a37a986,3698479000000000000000000
0xBDEF90d3CCEe53eDBb8db652a8DbF32EA366118A,3698479000000000000000000
0x3EBD53DaAF87703030dcF314a7ed6489f8908AcA,3698479000000000000000000
0xC351d53F76a586247E051ef8e35F37Aa061C97Ee,204220000000000000000000
0xC8eB47B5b16CeB27Bd42cb1a22228A34459eFD36,3698479000000000000000000
0xe907d0812a0C1B6adBf52fbD1c44d5aC2801DAE4,3698479000000000000000000
0x552e4C2088752513CA1087Bc0C3610fd3E6f15f3,963362000000000000000000
0xDBBd687eb31770a729F136c058fdc4ab9BA1fbBB,2877691000000000000000000
0x1B24641c977158A4E4fD6b1A5b671075eaEe0dAF,3698479000000000000000000
0x1a4544FfD9aDCA3F3906b936a67a787DCCb5C010,3481220000000000000000000
0x2302f904bc1c9a7BE52e12057FE8bb00d48ab703,332321000000000000000000
0xa5735d3d7c26a7c7BCc1315fC784AE4e77333432,3305546000000000000000000
0x80ddC09F02716dE643A5Dd8fAF9Ee695e51D390b,3255448000000000000000000
0x972AcbA9eA53D0686459f76D64f2ca77817eBE5f,324169000000000000000000
0xd42EB5B8E6Ed3FA5EB325f0120AEd8B4B737997e,3698479000000000000000000
0xe4f899e50B8Ef53E308e9250d84828f0B7B7DA9C,3698479000000000000000000
0xb14889B339b8602A6f0e9b585e8f0a688B28ea69,3698479000000000000000000
0xfA2d29acE653EbFe59E1144016d4EE3b2b376c59,454357000000000000000000
0x793cC290375ED55827840C9F7C5F81BFFE1Aa150,294411000000000000000000
0xfF36B5BC332c1Cdf43c2f23588d33CAF48aB5123,2916958000000000000000000
0x8780C1344b1DB8AEAbf03BDa7c0cC2cB155719C4,2884833000000000000000000
0x5461be87758445b670Ed66C1468658A4892d214D,2871122000000000000000000
0x0e06Bd0c9D39a1e98Ffdb3ec91F49d806317ff21,699371000000000000000000
0x0d1A62632FcC0Ca35F699D11a441ae78ADf039d3,2711125000000000000000000
0xf6a60B7f4B5e9e7A2e3E06CB8a658cc9eA5E78E8,2630649000000000000000000
0xEf1F5E06Bf9f1BE1BD181FfBC415a878013112f7,1313140000000000000000000
0x2F7527863BF3ac13F1769527F4f951B7f10Ecd6f,647759000000000000000000
0x2cB4d5f92a5164A62874F8D7f85984AF71E9693B,1262844000000000000000000
0xf18300a123ee66c2fa89153C95D28361817dC400,250168000000000000000000
0x8C1981c7F49f07E597b8C8212753330c930f6445,624124000000000000000000
0xb94152fB8306f4F0FCFDbFCe30D2d2D328AE6a1b,616153000000000000000000
0x674De59C2715221Be5Edc056C3BEC9eA9284b1DF,2447862000000000000000000
0xe6ea29AD6887F8fca3DBd53648047fF56C539a6F,2416424000000000000000000
0x4c1aa634E5d12681b1C3f167838Cad1D8c10Ef16,1175670000000000000000000
0x354506C6fA53ab3Ca45650d332D73d088105a879,2326479000000000000000000
0xadcc43CBBce1c08Ce06d22b910DC49d9f046791F,2321711000000000000000000
0xD7fF486B858c7141c2E535C0836A3dDe638D0733,2287317000000000000000000
0x5446C2fbc1d6bA05f8350C2A009080f5a97EEB9e,1139544000000000000000000
0x2F300be04900113FC189AcE451Dc1255f1EC2969,2269172000000000000000000
0x8e89d749b9d95a2ea63ab03e7098e4802ddfd9c5,3394241000000000000000000
0x02fCaEfce1c25A911E5747B106f586Dc4552391c,3222597000000000000000000
0x4852C8B9e7e595CCFCf91D8E32DE066bBdCE10d6,2094759000000000000000000
0xd052226733Da9c0BB9AC9fD622995F3a977D2057,2068601000000000000000000
0x1fAA6116CD8bD91074Ed87a8aCfdbC6623C65dE3,2011220000000000000000000
0x6C449a6acff289c1517617A378Ad40d4745BC126,1963706000000000000000000
0xa384223561f97f89cdEf7D3279071952180E6B0b,1899612000000000000000000
0x7C7f11aece42375Ee9e362200f7bBABbCbe8173b,1892317000000000000000000
